nombre	inicio	final	longitud	producto
SAR1153	1157622	1160024	2402	conserved hypothetical protein
SAR1154	1160194	1161132	938	hypothetical protein
SAR1155	1161508	1161774	266	SpoU rRNA Methylase family protein
SAR1156	1161775	1162296	521	putative phenylalanyl-tRNA synthetase alpha
pbpA	1162369	1164081	1712	putative phenylalanyl-tRNA synthetase beta
mraY	1164091	1166439	2348	putative ribonuclease
murD	1166612	1166926	314	conserved hypothetical protein
SAR1160	1167250	1169031	1781	putative membrane protein
ftsA	1169355	1169969	614	DNA polymerase X family protein
ftsZ	1170021	1171787	1766	MutS family DNA mismatch repair protein
SAR1163	1171787	1172602	815	thioredoxin
SAR1164	1172841	1173641	800	putative excinuclease ABC subunit C
SAR1165	1173653	1174240	587	putative succinate dehydrogenase cytochrome
SAR1166	1174233	1174736	503	putative succinate dehydrogenase flavoprotein
SAR1167	1174866	1175033	167	putative succinate dehydrogenase iron-sulfur
SAR1168	1175227	1175544	317	putative glutamate racemase
ileS	1175892	1176277	385	conserved hypothetical protein
SAR1170	1176949	1177455	506	conserved hypothetical protein
SAR1171	1177712	1178209	497	hypothetical protein
lspA	1178361	1178711	350	putative exported protein
SAR1173	1178795	1179019	224	hypothetical protein (pseudogene)
pyrR	1178960	1179145	185	putative membrane protein
pyrP	1179346	1179594	248	fibrinogen-binding protein precursor
pyrB	1179755	1179988	233	putative exported protein
pyrC	1180442	1181062	620	hypothetical protein
pyrAA	1182069	1182215	146	putative membrane protein
pyrAB	1182199	1182399	200	putative membrane protein
pyrF	1182701	1184347	1646	hypothetical protein
pyrE	1184717	1185433	716	alpha-hemolysin precursor (pseudogene)
SAR1182	1185542	1186267	725	hypothetical protein
SAR1183	1186377	1187102	725	hypothetical protein
SAR1184	1187532	1188533	1001	putative transposase
SAR1185	1188556	1189488	932	exotoxin
SAR1186	1189659	1191215	1556	exotoxin
SAR1187	1191522	1191749	227	exotoxin
priA	1192065	1193012	947	ornithine carbamoyltransferase
SAR1189	1193259	1193456	197	putative carbamate kinase
SAR1190	1194355	1194489	134	putative membrane protein
def	1194622	1195308	686	putative membrane protein
SAR1192	1195416	1195856	440	putative membrane protein
SAR1193	1196051	1197664	1613	putative DNA-binding protein
SAR1194	1197808	1198239	431	antibacterial protein
SAR1195	1198255	1199190	935	putative haloacid dehalogenase-like hydrolase
pknB	1199204	1199605	401	acetyltransferase (GNAT) family protein
SAR1197	1199586	1201820	2234	conserved hypothetical protein
SAR1198	1202112	1203077	965	conserved hypothetical protein
SAR1199	1203079	1204428	1349	MraW methylase family protein
rpmB	1204441	1205763	1322	putative cell division protein
SAR1201	1205869	1207275	1406	penicillin-binding protein 1
SAR1202	1207308	1208480	1172	phospho-N-acetylmuramoyl-pentapeptide-transfera
recG	1208738	1209529	791	UDP-N-acetylmuramoylalanine--D-glutamate ligase
SAR1204	1209547	1210221	674	putative cell division protein
SAR1205	1210218	1210781	563	putative cell division protein
fabD	1210793	1211083	290	cell division protein FtsZ
fabG	1211166	1211972	806	conserved hypothetical protein
acpP	1211996	1212592	596	conserved hypothetical protein
SAR1209	1212813	1215566	2753	hypothetical protein
SAR1210	1215677	1216624	947	putative membrane protein
SAR1211	1216898	1217695	797	conserved hypothetical protein
SAR1212	1217944	1218435	491	conserved hypothetical protein
ffh	1218435	1219352	917	isoleucyl-tRNA synthetase
rpsP	1219754	1220281	527	putative transposase
rimM	1220499	1221806	1307	glyoxalase/bleomycin resistance
trmD	1221834	1222715	881	lipoprotein signal peptidase
rplS	1222733	1224007	1274	putative RNA pseudouridylate synthase
SAR1218	1224009	1225109	1100	putative pyrimidine operon regulatory protein
SAR1219	1225102	1228275	3173	putative uracil permease
rnhB	1228382	1229077	695	putative aspartate carbamoyltransferase
SAR1221	1229077	1229688	611	putative dihydroorotase
SAR1222	1229718	1229930	212	putative carbamoyl-phosphate synthase,
lytN	1230367	1230768	401	putative carbamoyl-phosphate synthase,
fmhC	1231031	1232728	1697	putative orotidine 5'-phosphate decarboxylase
SAR1225	1233003	1233626	623	putative orotate phosphoribosyltransferase
topA	1233626	1233844	218	hypothetical protein
SAR1227	1234060	1235259	1199	conserved hypothetical protein
SAR1228	1235259	1237667	2408	conserved hypothetical protein
hslV	1238170	1239123	953	putative guanylate kinase
SAR1230	1239286	1239564	278	conserved hypothetical protein
codY	1239788	1240276	488	putative flavoprotein
rpsB	1240269	1241204	935	primosomal protein n'
tsf	1241201	1242508	1307	putative lipoprotein
pyrH	1242511	1243605	1094	putative membrane protein
frr	1243612	1244355	743	putative polypeptide deformylase
uppS	1244352	1246346	1994	methionyl-tRNA formyltransferase
SAR1237	1246574	1247449	875	hypothetical protein
SAR1238	1247450	1248094	644	conserved hypothetical protein
proS	1248101	1248742	641	putative protein phosphatase
polC	1249123	1249311	188	serine/threonine-protein kinase
SAR1241	1249754	1250128	374	conserved hypothetical protein
nusA	1250143	1251789	1646	putative ribulose-phosphate 3-epimerase
SAR1243	1251979	1254039	2060	conserved hypothetical protein
SAR1244	1254257	1254814	557	50S ribosomal protein L28
infB	1254819	1255805	986	conserved hypothetical protein
rbfA	1255798	1256724	926	conserved hypothetical protein
SAR1247	1256711	1257451	740	ATP-dependent DNA helicase
SAR1248	1257757	1257990	233	conserved hypothetical protein
rpsO	1258106	1258837	731	putative fatty acid synthesis protein
pnpA	1258984	1262550	3566	putative malonyl CoA-acyl carrier protein
SAR1251	1262550	1263800	1250	3-oxoacyl-[acyl-carrier protein] reductase
SAR1252	1263787	1264119	332	acyl carrier protein
SAR1253	1264145	1265512	1367	putative ribonuclease III
SAR1254	1265947	1266222	275	putative chromosome partition protein
SAR1255	1266410	1266913	503	putative cell division protein
SAR1256	1266913	1267650	737	putative DNA-binding protein
SAR1257	1267753	1268103	350	signal recognition particle protein
SAR1258	1268347	1270953	2606	30S ribosomal protein S16
pgsA	1271354	1272238	884	16S rRNA processing protein
SAR1260	1272222	1272989	767	putative tRNA (guanine-7-)-methyltransferase
recA	1273098	1274264	1166	50S ribosomal protein L19
SAR1262	1274286	1275194	908	putative membrane protein
SAR1263	1275421	1276539	1118	putative GTPase protein
SAR1264	1276567	1277811	1244	putative ribonuclease HII
SAR1265	1277983	1278855	872	putative CoA synthetase protein
SAR1266	1279035	1281104	2069	putative succinyl-CoA ligase
SAR1267	1281260	1282567	1307	putative cell wall hydrolase
SAR1268	1282985	1283881	896	FemAB family protein
SAR1269	1283878	1284423	545	SMF family protein
SAR1270	1284489	1285892	1403	DNA topoisomerase I
mutS	1285917	1286690	773	conserved hypothetical protein
mutL	1287032	1287799	767	putative integrase/recombinase
glpP	1287981	1288862	881	putative ATP-dependent protease
SAR1273a	1288999	1289721	722	putative ATP-dependent protease ATP-binding
glpF	1289740	1290294	554	putative regulatory protein
glpK	1290667	1291437	770	30S ribosomal protein S2
glpD	1291444	1292226	782	elongation factor Ts
SAR1277	1292438	1293724	1286	putative uridylate kinase
miaA	1293744	1295447	1703	ribosome recycling factor
SAR1279	1295705	1300021	4316	undecaprenyl pyrophosphate synthetase
SAR1280	1300311	1300778	467	putative phosphatidate cytidylyltransferase
SAR1281	1300799	1301974	1175	putative membrane protein
SAR1282	1301995	1302279	284	prolyl-tRNA synthetase
glnR	1302276	1302593	317	DNA polymerase III PolC-type
glnA	1302598	1304715	2117	conserved hypothetical protein
SAR1285	1305102	1305452	350	putative N utilization substance protein A
SAR1288	1305622	1306539	917	conserved hypothetical protein
SAR1289	1306554	1307525	971	putative ribosomal protein
SAR1290	1307640	1307909	269	translation initiation factor IF-2
SAR1291	1308278	1310374	2096	putative ribosome-binding factor A
SAR1292	1310610	1312283	1673	putative tRNA pseudouridine synthase B
SAR1293	1312540	1314909	2369	putative riboflavin biosynthesis protein
SAR1294	1314914	1315627	713	30S ribosomal protein S15
SAR1295	1315658	1316923	1265	polyribonucleotide nucleotidyltransferase
SAR1296	1316923	1318209	1286	conserved hypothetical protein
SAR1297	1318209	1318913	704	putative DNA translocase (FtsK/SpoIIIE family
SAR1298	1319018	1319845	827	conserved hypothetical protein
SAR1299	1319864	1320256	392	conserved hypothetical protein
SAR1300	1320290	1320868	578	putative protease
SAR1302	1321093	1322244	1151	putative short chain dehydrogenase
SAR1303	1322409	1323452	1043	putative membrane protein
SAR1304	1323806	1325365	1559	putative DNA-binding protein
SAR1305	1325661	1325831	170	putative
SAR1306	1326050	1326847	797	conserved hypothetical protein
SAR1311	1326987	1328747	1760	recombinase A
SAR1312	1328748	1329614	866	putative exported protein
SAR1313	1329709	1330002	293	hypothetical protein
SAR1314	1330136	1331680	1544	conserved hypothetical protein
SAR1315	1331681	1332046	365	putative pyruvate flavodoxin/ferredoxin
SAR1316	1332073	1332564	491	conserved hypothetical protein
SAR1317	1332867	1335485	2618	conserved hypothetical protein
SAR1318	1335498	1337507	2009	conserved hypothetical protein
SAR1319	1337522	1338055	533	conserved hypothetical protein
SAR1320	1338092	1338190	98	putative membrane protein
SAR1321	1338530	1339348	818	DNA mismatch repair protein MutS
SAR1322	1339478	1340974	1496	DNA mismatch repair protein MutL
SAR1323	1341084	1342805	1721	putative glycerol uptake operon antiterminator
SAR1324	1342955	1343869	914	hypothetical protein
SAR1325	1343887	1344822	935	putative glycerol uptake facilitator protein
SAR1325b	1344837	1345070	233	glycerol kinase
SAR1326	1345292	1345768	476	aerobic glycerol-3-phosphate dehydrogenase
SAR1327	1345880	1347118	1238	putative hydrolase
SAR1328	1347137	1348375	1238	putative tRNA delta 2-isopentenylpyrophosphate
SAR1329	1348619	1348987	368	conserved hypothetical protein
SAR1330	1349006	1350346	1340	putative glutathione peroxidase
SAR1331	1350840	1351037	197	conserved hypothetical protein
SAR1332	1351329	1351856	527	conserved hypothetical protein
SAR1333	1352458	1352814	356	glutamine synthetase repressor
nucI	1352870	1353460	590	glutamine synthetase
SAR1335	1353467	1354453	986	hypothetical protein
SAR1336	1354503	1356350	1847	putative transposase (pseudogene)
SAR1337	1356355	1357713	1358	putative lipoprotein
SAR1338	1357767	1360262	2495	putative exported protein
thrC	1360297	1360680	383	putative exported protein
thrB	1360692	1360952	260	putative membrane protein
SAR1341	1360957	1362012	1055	FtsK/SpoIIIE family protein
SAR1342	1362073	1363098	1025	conserved hypothetical protein
SAR1343	1363340	1363642	302	putative membrane protein
SAR1344	1363656	1363976	320	putative membrane protein
rpmG2	1364127	1364420	293	putative membrane protein
SAR1346	1365097	1365309	212	conserved hypothetical protein
SAR1347	1365606	1365812	206	hypothetical protein
SAR1348	1367017	1367202	185	conserved hypothetical protein
dinR	1367414	1368361	947	hypothetical protein
SAR1350	1368788	1369204	416	conserved hypothetical protein
SAR1351	1369635	1370418	783	hypothetical protein
SAR1352	1370725	1370976	251	putative DNA-binding protein
SAR1353	1371181	1371702	521	putative transposase
SAR1355	1371704	1371901	197	hypothetical protein
SAR1356	1372328	1372645	317	putative insertion sequence protein
SAR1357	1372972	1373169	197	hypothetical protein
SAR1358	1373314	1373487	173	hypothetical protein
SAR1359	1373498	1373692	194	hypothetical protein
mscL	1373905	1374138	233	hypothetical protein
opuD1	1374311	1374436	125	hypothetical protein
citB	1374449	1374697	248	hypothetical protein
SAR1363	1374848	1375126	278	hypothetical protein
SAR1364	1375139	1375438	299	hypothetical protein
SAR1365	1375435	1375572	137	hypothetical protein
grlB	1375775	1375975	200	hypothetical protein
grlA	1375982	1376179	197	hypothetical protein
SAR1368	1376455	1376565	110	hypothetical protein
SAR1369	1376726	1377751	1025	hypothetical protein
SAR1370	1378021	1378218	197	hypothetical protein
SAR1371	1378275	1379756	1481	hypothetical protein
mprF	1379930	1380838	908	hypothetical protein
msrA1	1380807	1381538	731	conserved hypothetical protein
SAR1374	1381542	1382633	1091	hypothetical protein
SAR1375	1382630	1383136	506	putative cardiolipin synthase
SAR1376	1383249	1383437	188	ABC transporter ATP-binding protein
SAR1377	1383576	1384109	533	putative membrane protein
SAR1378	1384252	1385106	854	sensor kinase protein
SAR1379	1385422	1386012	590	response regulator
trpE	1386066	1387460	1394	putative membrane protein
trpG	1387639	1388919	1280	thermonuclease
trpC	1388925	1389986	1061	putative exported protein
trpF	1389988	1390902	914	hypothetical protein
trpB	1390960	1391763	803	putative aspartate kinase
trpA	1392055	1392369	314	putative homoserine dehydrogenase
femA	1392588	1394042	1454	threonine synthase
femB	1394246	1395763	1517	homoserine kinase
SAR1391	1395854	1396003	149	haloacid dehalogenase-like hydrolase
SAR1392	1396457	1396726	269	hypothetical protein
SAR1393	1396883	1397860	977	amino acid permease
SAR1394	1398035	1398898	863	catalase
SAR1395	1399278	1399901	623	50S ribosomal protein L33 type 2
SAR1396	1400041	1400277	236	30S ribosomal protein S14
SAR1397	1400413	1400652	239	putative GMP reductase
SAR1398	1400773	1402761	1988	hypothetical protein
SAR1399	1403039	1403281	242	DNA damage-inducible repressor
SAR1400	1403460	1403927	467	putative membrane protein
SAR1401	1404051	1405172	1121	conserved hypothetical protein
SAR1402	1405176	1408205	3029	putative transketolase
SAR1403	1408278	1409033	755	putative exported protein
SAR1404	1409057	1409845	788	putative membrane protein
lysC	1409939	1410301	362	putative exonuclease
asd	1410505	1412151	1646	putative exonuclease
dapA	1412719	1415424	2705	putative insertion element protein
dapB	1415605	1416072	467	putative transposase
dapD	1416281	1416577	296	large-conductance mechanosensitive channel
SAR1410	1416955	1417563	608	glycine betaine transporter 1
dal	1417763	1419760	1997	aconitate hydratase
lysA	1419760	1422162	2402	conserved hypothetical protein
SAR1413	1422412	1423872	1460	conserved hypothetical protein
cspA	1424372	1425223	851	putative membrane protein
SAR1415	1425270	1425365	95	topoisomerase IV subunit B
SAR1416	1425358	1426566	1208	topoisomerase IV subunit A
SAR1417	1427047	1429569	2522	sodium:alanine symporter family protein
SAR1418	1429772	1430281	509	transcription antiterminator
SAR1419	1430418	1431401	983	hypothetical protein
SAR1420	1431432	1433078	1646	putative membrane protein
SAR1421	1433402	1433590	188	putative membrane protein
SAR1422	1433735	1434997	1262	peptide methionine sulfoxide reductase I
SAR1423	1435133	1436224	1091	putative membrane protein
odhB	1436389	1437420	1031	putative transposase
odhA	1437913	1439319	1406	putative 4-oxalocrotonate tautomerase
arlS	1439316	1439882	566	ImpB/MucB/SamB family protein
arlR	1439888	1440115	227	prephenate dehydrogenase
SAR1428	1440886	1441668	782	putative peptidase
SAR1429	1441668	1442300	632	anthranilate synthase component I
murG	1442293	1443507	1214	anthranilate synthase component II
SAR1431	1443500	1444228	728	anthranilate phosphoribosyltransferase
SAR1432	1444550	1445812	1262	indole-3-glycerol phosphate synthase
SAR1433	1445831	1447090	1259	N-(5'phosphoribosyl)anthranilate (PRA)
SAR1434	1447753	1448521	768	tryptophan synthase beta chain
SAR1435	1448569	1449027	458	tryptophan synthase alpha chain
SAR1436	1449150	1449851	701	factor essential for expression of methicillin
msrA2	1449844	1450617	773	putative methicillin resistance expression
SAR1438	1450604	1451434	830	conserved hypothetical protein (pseudogene)
dfrB	1451427	1452413	986	hypothetical protein
thyA	1452717	1453061	344	putative oligopeptide transporter ATPase
SAR1441	1453266	1455080	1814	putative oligopeptide transporter ATPase
SAR1442	1455220	1455861	641	putative oligopeptide transport system permease
SAR1443	1455868	1456719	851	putative oligopeptide transport system permease
SAR1444	1456766	1457683	917	putative membrane protein
SAR1445	1457685	1458611	926	putative peptidase
SAR1446	1458802	1459785	983	putative phosphate transport system protein
ebh	1460096	1460998	902	ABC transporter ATP-binding protein
SAR1448	1461145	1462746	1601	ABC transporter permease protein
SAR1449	1463603	1464808	1205	ABC transporter permease protein
tdcB	1464872	1465861	989	phosphate-binding lipoprotein
ald2	1465863	1466750	887	conserved hypothetical protein
SAR1452	1466747	1467469	722	ABC transporter ATP-binding protein
SAR1453	1467496	1468215	719	aspartokinase II
SAR1455	1468358	1469509	1151	aspartate semialdehyde dehydrogenase
SAR1456	1469514	1470599	1085	dihydrodipicolinate synthase
rnpB	1470589	1471854	1265	dihydrodipicolinate reductase
SAR1458	1472090	1472491	401	putative tetrahydrodipicolinate
SAR1459	1472688	1472888	200	putative peptidase
SAR1459a	1473059	1473367	308	putative alanine racemase
recU	1473529	1473798	269	diaminopimelate decarboxylase
pbp2	1473823	1474446	623	putative membrane protein
SAR1462	1474478	1475614	1136	cold shock protein
SAR1463	1475682	1477025	1343	hypothetical protein
SAR1464	1477250	1479136	1886	putative acylphosphatase
asnS	1479150	1479941	791	putative membrane protein
SAR1466	1480122	1480325	203	conserved hypothetical protein
birA	1480354	1481163	809	putative branched-chain amino acid transporter
papS	1481753	1483024	1271	conserved hypothetical protein
SAR1469	1483038	1485836	2798	conserved hypothetical protein
SAR1470	1486310	1487665	1355	conserved hypothetical protein
SAR1471	1487662	1488321	659	hypothetical protein
SAR1472	1488791	1488964	173	dihydrolipoamide succinyltransferase E2
SAR1473	1489107	1489721	614	2-oxoglutarate dehydrogenase E1 component
SAR1474	1489738	1490808	1070	sensor kinase protein
aroA	1490820	1491329	509	response regulator protein
aroB	1491730	1493220	1490	hypothetical protein
aroC	1493459	1494406	947	putative membrane protein
ndk	1494479	1494700	221	putative
SAR1479	1494700	1495200	500	putative acetyltransferase
menH	1495212	1495640	428	putative protease
SAR1481	1495633	1496166	533	putative transposase
hup	1496252	1497091	839	conserved hypothetical protein
gpsA	1497106	1497585	479	PTS system, glucose-specific IIA component
SAR1484	1497785	1498741	956	conserved hypothetical protein
SAR1485	1499165	1499602	437	peptide methionine sulfoxide reductase II
cmk	1499618	1500742	1124	conserved hypothetical protein
SAR1487	1500780	1501031	251	dihydrofolate reductase type I
SAR1488	1501043	1501237	194	thymidylate synthase
ebpS	1501482	1502186	704	conserved hypothetical protein
SAR1490	1502427	1502828	401	conserved hypothetical protein
SAR1491	1502887	1535127	32240	hypothetical protein
SAR1492	1535528	1536919	1391	conserved hypothetical protein
SAR1493	1537076	1538398	1322	putative membrane protein
SAR1494	1538429	1539469	1040	conserved hypothetical protein
SAR1495	1539564	1540682	1118	very large surface anchored protein
SAR1497	1541157	1542035	878	transporter protein
SAR1498	1542055	1545495	3440	amino acid permease
SAR1499	1545799	1547007	1208	putative threonine dehydratase
SAR1500	1547485	1547817	332	alanine dehydrogenase 2
SAR1501	1547901	1549046	1145	putative 5'-3' exonuclease
SAR1502	1549260	1549607	347	hypothetical protein
SAR1503	1549697	1550041	344	putative membrane protein (pseudogene)
SAR1504	1550055	1550618	563	putative exported protein
SAR1505	1550611	1550961	350	conserved hypothetical protein
SAR1506	1551024	1551194	170	conserved hypothetical protein
SAR1507	1551500	1552126	626	conserved hypothetical protein
SAR1508	1552123	1554273	2150	conserved hypothetical protein
SAR1509	1554823	1555164	341	hypothetical protein
SAR1510	1555169	1555828	659	putative recombination protein U
SAR1511	1555818	1556504	686	penicillin-binding protein 2
SAR1512	1556833	1558125	1292	putative exported protein
SAR1513	1558447	1561140	2693	putative endonuclease
SAR1514	1561164	1562135	971	conserved hypothetical protein
SAR1515	1562122	1563324	1202	putative asparaginyl-tRNA synthetase
SAR1516	1563329	1564471	1142	conserved hypothetical protein
SAR1517	1564715	1565032	317	BirA bifunctional protein [includes: biotin
SAR1518	1565368	1566066	698	poly A polymerase family protein
SAR1519	1566120	1566707	587	putative glycosyl transferase
SAR1520	1566697	1567272	575	conserved hypothetical protein
SAR1521	1567286	1568530	1244	putative membrane protein
SAR1522	1568537	1569835	1298	putative membrane protein
SAR1523	1569845	1570909	1064	conserved hypothetical protein
SAR1524	1570935	1572101	1166	conserved hypothetical protein
SAR1525	1572570	1573019	449	3-phosphoshikimate 1-carboxyvinyltransferase
SAR1526	1573111	1574070	959	putative 3-dehydroquinate synthase
SAR1526a	1574072	1574797	725	chorismate synthase
SAR1527	1574800	1575372	572	putative nucleoside diphosphate kinase
SAR1528	1575803	1576075	272	putative heptaprenyl diphosphate synthase
SAR1529	1576246	1577244	998	putative 2-heptaprenyl-1,4-naphthoquinone
SAR1530	1577261	1578571	1310	hypothetical protein
SAR1531	1578793	1579968	1175	DNA-binding protein HU
SAR1532	1580680	1581339	659	glycerol-3-phosphate dehydrogenase [NAD(P)+]
SAR1533	1581416	1582384	968	putative GTPase
SAR1534	1582499	1583485	986	putative 30S ribosomal protein S1
SAR1535	1583870	1585330	1460	cytidylate kinase
SAR1536	1585483	1586862	1379	putative L-asparaginase
SAR1537	1586852	1587805	953	putative pyridine nucleotide-disulphide
SAR1538	1587913	1588161	248	cell surface elastin binding protein
SAR1539	1588267	1588812	545	DEAD/DEAH box helicase family protein
SAR1540	1589460	1590368	908	hypothetical protein
SAR1541	1590426	1591331	905	ferredoxin
SAR1542	1591421	1591594	173	putative membrane protein
SAR1543	1592358	1593812	1454	putative lipoprotein
SAR1544	1593824	1594126	302	putative lipoprotein
SAR1545	1594262	1594561	299	hypothetical protein (pseudogene)
SAR1546	1594607	1594771	164	amidase
SAR1547	1594764	1595153	389	holin
SAR1548	1595153	1596619	1466	hypothetical phage protein
SAR1549	1596619	1598529	1910	hypothetical phage protein
SAR1550	1598545	1598835	290	hypothetical phage protein
SAR1551	1598835	1600418	1583	hypothetical phage protein
SAR1552	1600427	1601251	824	hypothetical phage protein
SAR1553	1601251	1607451	6200	hypothetical phage protein
SAR1554	1607465	1607623	158	hypothetical phage protein
SAR1555	1607665	1608015	350	hypothetical phage protein
SAR1556	1608073	1608528	455	hypothetical phage protein
SAR1557	1608620	1609261	641	hypothetical phage protein
SAR1558	1609296	1609691	395	hypothetical phage protein
SAR1559	1609692	1610063	371	major tail protein
SAR1560	1610090	1610422	332	major tail protein
SAR1561	1610434	1610712	278	hypothetical phage protein
SAR1562	1610781	1611944	1163	hypothetical phage protein
srrB	1611956	1612729	773	hypothetical phage protein
srrA	1612713	1613951	1238	hypothetical phage protein
rluB	1613956	1615656	1700	hypothetical phage protein
SAR1570	1615637	1615942	305	phage protease
SAR1571	1616068	1616382	314	portal protein
SAR1572	1616539	1616976	437	terminase large subunit
xerD	1616989	1618347	1358	terminase small subunit
fur	1618337	1618627	290	hypothetical phage protein
SAR1575	1618968	1621415	2447	phage regulatory protein
SAR1576	1621468	1621668	200	hypothetical phage protein
SAR1577	1621671	1621742	71	hypothetical phage protein
SAR1578	1621736	1621888	152	hypothetical phage protein
SAR1579	1621881	1622117	236	putative exported phage protein
SAR1581	1622142	1622378	236	hypothetical phage protein
zwf	1622395	1622568	173	hypothetical phage protein
SAR1583	1622605	1623141	536	hypothetical phage protein
malA	1623134	1623382	248	hypothetical phage protein
malR	1623375	1623806	431	hypothetical phage protein
SAR1586	1623806	1623997	191	hypothetical phage protein
SAR1587	1623994	1624386	392	hypothetical phage protein
gnd	1624401	1624643	242	hypothetical phage protein
SAR1590	1624658	1624858	200	hypothetical phage protein
SAR1591	1624861	1625118	257	hypothetical phage protein
SAR1592	1625118	1625519	401	hypothetical phage protein
bfmB	1625519	1625704	185	hypothetical phage protein
bfmBAB	1625717	1627678	1961	hypothetical phage protein
bfmBAA	1627737	1628294	557	putative DNA-binding protein
bfmBC	1628320	1629486	1166	hypothetical phage protein
SAR1597	1629483	1629845	362	putative DNA polymerase
argR	1629860	1630183	323	hypothetical phage protein
SAR1599	1630262	1630423	161	hypothetical phage protein
SAR1600	1630436	1630699	263	hypothetical phage protein
SAR1601	1630726	1630941	215	hypothetical phage protein
SAR1602	1630996	1631361	365	hypothetical phage protein
SAR1603	1631330	1631575	245	putative DNA-binding protein
accC	1631642	1632022	380	hypothetical phage protein
accB	1632009	1632206	197	hypothetical phage protein
efp	1632529	1632678	149	hypothetical phage protein
SAR1607	1632693	1633136	443	hypothetical phage protein
SAR1608	1633154	1633378	224	hypothetical phage protein
SAR1609	1633540	1633920	380	hypothetical phage protein
SAR1610	1633942	1634400	458	hypothetical phage protein
SAR1611	1634418	1634852	434	putative regulatory protein
SAR1612	1634881	1635276	395	putative regulatory protein
SAR1613	1635366	1635488	122	hypothetical phage protein
gcvT	1635475	1636098	623	putative lipoprotein
SAR1615	1636208	1637413	1205	hypothetical phage protein
SAR1616	1639484	1640415	931	hypothetical phage protein
SAR1617	1640667	1642433	1766	putative membrane protein
SAR1618	1642399	1643142	743	phage integrase
SAR1619	1643257	1643994	737	putative lipoprotein (pseudogene)
SAR1620	1643987	1644529	542	sensor kinase protein
SAR1621	1644522	1645277	755	response regulator protein
SAR1622	1645345	1645851	506	ribosomal large subunit pseudouridine synthase
SAR1623	1645929	1646816	887	conserved hypothetical protein
glkA	1646865	1647314	449	conserved hypothetical protein
SAR1625	1647419	1647961	542	conserved hypothetical protein
SAR1626	1648043	1648951	908	integrase/recombinase
SAR1627	1649167	1649415	248	iron uptake regulatory protein
rpmG1	1649431	1650189	758	putative ADP-ribose pyrophosphatase
pbpF	1650328	1651143	815	aldo/keto reductase family protein
sodA	1651248	1652168	920	hypothetical protein
zur	1652481	1653965	1484	putative short chain dehydrogenase
mreB	1654195	1655061	866	putative pyrroline-5-carboxylate reductase
mreA	1655144	1656793	1649	conserved hypothetical protein
SAR1634	1656809	1657828	1019	putative glucose-6-phosphate 1-dehydrogenase
SAR1635	1658022	1658393	371	AraC family regulatory protein
SAR1636	1658869	1659768	899	alpha-D-1,4-glucosidase
SAR1637	1659783	1660996	1213	maltose operon transcriptional repressor
rpoD	1661312	1662718	1406	glyoxalase/bleomycin resistance
dnaG	1662786	1663919	1133	PfkB family carbohydrate kinase
SAR1640	1664488	1665468	980	putative membrane protein (pseudogene)
SAR1642	1665482	1665919	437	6-phosphogluconate dehydrogenase,
SAR1643	1666269	1667543	1274	putative peptidase
era	1667556	1668539	983	putative membrane protein
cdd	1668539	1669531	992	conserved hypothetical protein
SAR1646	1669547	1670968	1421	lipoamide acyltransferase component of
SAR1647	1671119	1672798	1679	2-oxoisovalerate dehydrogenase beta subunit
SAR1648	1672814	1673266	452	2-oxoisovalerate dehydrogenase alpha subunit
SAR1649	1673697	1674578	881	putative dihydrolipoamide dehydrogenase
SAR1650	1674556	1674786	230	putative DNA repair protein
SAR1651	1674779	1676116	1337	arginine repressor
rpsU	1676133	1676522	389	putative geranyltranstransferase
SAR1653	1676582	1676944	362	putative exodeoxyribonuclease VII small subunit
SAR1654	1676959	1678314	1355	putative exodeoxyribonuclease VII large subunit
SAR1655	1678314	1678778	464	putative N utilization substance protein B
dnaJ	1679252	1679809	557	conserved hypothetical protein
dnaK	1679835	1680896	1061	biotin carboxylase subunit of acetyl-CoA
grpE	1681001	1681582	581	biotin carboxyl carrier protein of acetyl-CoA
hrcA	1681596	1681814	218	putative elongation factor P
SAR1660	1681878	1682708	830	putative peptidase
lepA	1682866	1683252	386	putative lipoprotein
rpsT	1683637	1685109	1472	putative exported protein
SAR1664	1685102	1686457	1355	lipoate-protein ligase A protein
SAR1665	1686468	1687559	1091	putative membrane protein
SAR1666	1687718	1688242	524	putative glycine cleavage system P-protein
SAR1667	1688475	1688972	497	putative glycine cleavage system P-protein
SAR1668	1688890	1689189	299	putative aminomethyltransferase
SAR1669	1689176	1689610	434	putative shikimate kinase
SAR1670	1689600	1689911	311	putative membrane protein
SAR1671	1689925	1690995	1070	putative exported protein
SAR1672	1690967	1691941	974	putative exported protein
aroE	1691993	1692616	623	putative exported protein
SAR1674	1692613	1692942	329	putative membrane protein
SAR1675	1692942	1693928	986	hypothetical protein
pfs	1693925	1694128	203	metallo-beta-lactamase superfamily protein
SAR1677	1694109	1695572	1463	conserved hypothetical protein
SAR1680	1695584	1696123	539	glucokinase
SAR1683	1696332	1696481	149	conserved hypothetical protein
SAR1684	1696594	1698669	2075	putative membrane protein
SAR1685	1698789	1699388	599	5-formyltetrahydrofolate cyclo-ligase family
SAR1686	1699664	1700074	410	50S ribosomal protein L33 type 1
SAR1687	1700061	1700924	863	penicillin-binding protein PBP2B
SAR1688	1700966	1701751	785	superoxide dismutase
greA	1701877	1702767	890	zinc-specific metalloregulatory protein
